fueltype,carbody,wheelbase,curbweight,cylindernumber,stroke,horsepower,price
gas,convertible,88.6,2548,four,2.68,111,13495
gas,convertible,88.6,2548,four,2.68,111,16500
gas,hatchback,94.5,2823,six,3.47,154,16500
gas,sedan,99.8,2337,four,3.4,102,13950
gas,sedan,99.4,2824,five,3.4,115,17450
gas,sedan,99.8,2507,five,3.4,110,15250
gas,sedan,105.8,2844,five,3.4,110,17710
gas,wagon,105.8,2954,five,3.4,110,18920
gas,sedan,105.8,3086,five,3.4,140,23875
gas,hatchback,99.5,3053,five,3.4,160,17859.167
gas,sedan,101.2,2395,four,2.8,101,16430
gas,sedan,101.2,2395,four,2.8,101,16925
gas,sedan,101.2,2710,six,3.19,121,20970
gas,sedan,101.2,2765,six,3.19,121,21105
gas,sedan,103.5,3055,six,3.19,121,24565
gas,sedan,103.5,3230,six,3.39,182,30760
gas,sedan,103.5,3380,six,3.39,182,41315
gas,sedan,110,3505,six,3.39,182,36880
gas,hatchback,88.4,1488,three,3.03,48,5151
gas,hatchback,94.5,1874,four,3.11,70,6295
gas,sedan,94.5,1909,four,3.11,70,6575
gas,hatchback,93.7,1876,four,3.23,68,5572
gas,hatchback,93.7,1876,four,3.23,68,6377
gas,hatchback,93.7,2128,four,3.39,102,7957
gas,hatchback,93.7,1967,four,3.23,68,6229
gas,sedan,93.7,1989,four,3.23,68,6692
gas,sedan,93.7,1989,four,3.23,68,7609
gas,sedan,93.7,2191,four,3.39,102,8558
gas,wagon,103.3,2535,four,3.46,88,8921
gas,hatchback,95.9,2811,four,3.9,145,12964
gas,hatchback,86.6,1713,four,3.41,58,6479
gas,hatchback,86.6,1819,four,3.41,76,6855
gas,hatchback,93.7,1837,four,3.07,60,5399
gas,hatchback,93.7,1940,four,3.41,76,6529
gas,hatchback,93.7,1956,four,3.41,76,7129
gas,sedan,96.5,2010,four,3.41,76,7295
gas,wagon,96.5,2024,four,3.41,76,7295
gas,hatchback,96.5,2236,four,3.58,86,7895
gas,hatchback,96.5,2289,four,3.58,86,9095
gas,sedan,96.5,2304,four,3.58,86,8845
gas,sedan,96.5,2372,four,3.58,86,10295
gas,sedan,96.5,2465,four,3.58,101,12945
gas,sedan,96.5,2293,four,3.58,100,10345
gas,sedan,94.3,2337,four,3.23,78,6785
gas,sedan,94.5,1874,four,3.11,70,8916.5
gas,sedan,94.5,1909,four,3.11,70,8916.5
gas,hatchback,96,2734,four,3.23,90,11048
gas,sedan,113,4066,six,4.17,176,32250
gas,sedan,113,4066,six,4.17,176,35550
gas,sedan,102,3950,twelve,2.76,262,36000
gas,hatchback,93.1,1890,four,3.15,68,5195
gas,hatchback,93.1,1900,four,3.15,68,6095
gas,hatchback,93.1,1905,four,3.15,68,6795
gas,sedan,93.1,1945,four,3.15,68,6695
gas,sedan,93.1,1950,four,3.15,68,7395
gas,hatchback,95.3,2380,two,3.255,101,10945
gas,hatchback,95.3,2380,two,3.255,101,11845
gas,hatchback,95.3,2385,two,3.255,101,13645
gas,hatchback,95.3,2500,two,3.255,135,15645
gas,hatchback,98.8,2385,four,3.39,84,8845
gas,sedan,98.8,2410,four,3.39,84,8495
gas,hatchback,98.8,2385,four,3.39,84,10595
gas,sedan,98.8,2410,four,3.39,84,10245
diesel,sedan,98.8,2443,four,3.39,64,10795
gas,hatchback,98.8,2425,four,3.39,84,11245
gas,sedan,104.9,2670,four,3.16,120,18280
diesel,sedan,104.9,2700,four,3.64,72,18344
diesel,sedan,110,3515,five,3.64,123,25552
diesel,wagon,110,3750,five,3.64,123,28248
diesel,hardtop,106.7,3495,five,3.64,123,28176
diesel,sedan,115.6,3770,five,3.64,123,31600
gas,sedan,115.6,3740,eight,3.1,155,34184
gas,convertible,96.6,3685,eight,3.1,155,35056
gas,sedan,120.9,3900,eight,3.35,184,40960
gas,hardtop,112,3715,eight,3.35,184,45400
gas,hatchback,102.7,2910,four,3.12,175,16503
gas,hatchback,93.7,1918,four,3.23,68,5389
gas,hatchback,93.7,1944,four,3.23,68,6189
gas,hatchback,93.7,2004,four,3.23,68,6669
gas,hatchback,93,2145,four,3.39,102,7689
gas,hatchback,96.3,2370,four,3.46,116,9959
gas,hatchback,96.3,2328,four,3.46,88,8499
gas,hatchback,95.9,2833,four,3.86,145,12629
gas,hatchback,95.9,2921,four,3.86,145,14869
gas,hatchback,95.9,2926,four,3.86,145,14489
gas,sedan,96.3,2365,four,3.46,88,6989
gas,sedan,96.3,2405,four,3.46,88,8189
gas,sedan,96.3,2403,four,3.46,116,9279
gas,sedan,96.3,2403,four,3.46,116,9279
gas,sedan,94.5,1889,four,3.29,69,5499
diesel,sedan,94.5,2017,four,3.47,55,7099
gas,sedan,94.5,1918,four,3.29,69,6649
gas,sedan,94.5,1938,four,3.29,69,6849
gas,wagon,94.5,2024,four,3.29,69,7349
gas,sedan,94.5,1951,four,3.29,69,7299
gas,hatchback,94.5,2028,four,3.29,69,7799
gas,sedan,94.5,1971,four,3.29,69,7499
gas,wagon,94.5,2037,four,3.29,69,7999
gas,hardtop,95.1,2008,four,3.29,69,8249
gas,hatchback,97.2,2324,four,3.47,97,8949
gas,sedan,97.2,2302,four,3.47,97,9549
gas,sedan,100.4,3095,six,3.27,152,13499
gas,wagon,100.4,3296,six,3.27,152,14399
gas,sedan,100.4,3060,six,3.27,152,13499
gas,hatchback,91.3,3071,six,3.27,160,17199
gas,hatchback,91.3,3139,six,3.27,200,19699
gas,hatchback,99.2,3139,six,3.27,160,18399
gas,sedan,107.9,3020,four,3.19,97,11900
diesel,sedan,107.9,3197,four,3.52,95,13200
gas,wagon,114.2,3230,four,3.19,97,12440
diesel,wagon,114.2,3430,four,3.52,95,13860
gas,sedan,107.9,3075,four,2.19,95,15580
diesel,sedan,107.9,3252,four,3.52,95,16900
gas,wagon,114.2,3285,four,2.19,95,16695
diesel,wagon,114.2,3485,four,3.52,95,17075
gas,sedan,107.9,3075,four,3.19,97,16630
diesel,sedan,107.9,3252,four,3.52,95,17950
gas,sedan,108,3130,four,3.21,142,18150
gas,hatchback,93.7,1918,four,3.23,68,5572
gas,hatchback,93.7,2128,four,3.39,102,7957
gas,hatchback,93.7,1967,four,3.23,68,6229
gas,sedan,93.7,1989,four,3.23,68,6692
gas,sedan,93.7,2191,four,3.23,68,7609
gas,wagon,103.3,2535,four,3.46,88,8921
gas,hatchback,95.9,2818,four,3.86,145,12764
gas,hatchback,94.5,2778,four,3.11,143,22018
gas,hardtop,89.5,2756,six,2.9,207,32528
gas,hardtop,89.5,2756,six,2.9,207,34028
gas,convertible,89.5,2800,six,2.9,207,37028
gas,hatchback,98.4,3366,eight,3.11,288,31400.5
gas,wagon,96.1,2579,four,3.9,90,9295
gas,hatchback,96.1,2460,four,3.9,90,9895
gas,hatchback,99.1,2658,four,3.07,110,11850
gas,sedan,99.1,2695,four,3.07,110,12170
